onsen_sapporo_id,onsen_name,onsen_name_romanji,onsen_groupname,onsen_groupname_romanji,onsen_start,onsen_end,onsen_address_from_ward,onsen_address,onsen_address_all,onsen_latitude,onsen_longitude,onsen_area_prefectures,onsen_area_prefectures_romanji,onsen_area_municipality,onsen_area_municipality_romanji,onsen_area_municipality_type,onsen_area_ward,onsen_area_ward_romanji,onsen_fee_yen,onsen_tel,onsen_url,onsen_shampoo,onsen_shampoo_eng,onsen_rentalamenity,onsen_rentalamenity_eng,onsen_keyword,onsen_keyword_eng,onsen_extra,onsen_extra_eng,
Onsen_s1,北のたまゆら 桑園店,Kitano Tamayura Souen ten,北のたまゆら,kitanotamayura,8:00,0:30,中央区北11条西16丁目1-34,札幌市中央区北11条西16丁目1-34,北海道札幌市中央区北11条西16丁目1-34,43.071529,141.32883,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,440,011-611-2683,www.e-u.jp/souen_main.html,完備,included,販売品あり（+300円程度）,setabout300yen,系列店,group,なし,"No Tattoos Allowed.",
Onsen_s2,極楽湯 弥生店,Gokurakuyu Yayoi ten,極楽湯,gokurakuyu,10:00,23:30,中央区北3条西12丁目,札幌市中央区北3条西12丁目,北海道札幌市中央区北3条西12丁目,43.063185,141.337473,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,440,011-281-4126,www.gokurakuyu.ne.jp/gokurakuyu/tempo/sapporoyayoi/,完備,included,販売品あり（+300円程度）,setabout300yen,系列店,group,定休日あり。要確認,"It has Regular holiday, please check it & No Tattoos Allowed."
Onsen_s3,苗穂駅前温泉 蔵ノ湯,Naeboekimae Onsen Kuranoyu,蔵ノ湯,kuranoyu,10:00,23:30,中央区北2条東13丁目,札幌市中央区北2条東13丁目,北海道札幌市中央区北2条東13丁目,43.067998,141.376862,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,440,011-200-3800,www.kuranoyu.com/html/,販売品あり（+100円程度）,setabout100yen,販売品あり（+300円程度）,setabout300yen,独立店,independent,なし,"No Tattoos Allowed.",
Onsen_s4,都市型温泉 スパサフロ 男性用,Spa Safuro for Men,スパサフロ,spa_safuro,0:00:00,0:00:00,中央区南6条西5丁目,札幌市中央区南6条西5丁目,北海道札幌市中央区南6条西5丁目,43.05266,141.352349,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,2600,011-531-2233,www.safro.org/,完備,included,すべて込,included,ホテル型,hotel,男性専用,"Man Only & No Tattoos Allowed.",
Onsen_s5,都市型温泉 スパサフロ 女性用,Spa Safuro for Women,スパサフロ,spa_safuro,0:00:00,0:00:00,中央区南6条西5丁目,札幌市中央区南6条西5丁目,北海道札幌市中央区南6条西5丁目,43.05266,141.352349,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,2900,011-531-2424,www.safro.org/,完備,included,すべて込,included,ホテル型,hotel,女性専用,"Woman Only & No Tattoos Allowed.",
Onsen_s6,こみちの湯 ほのか,Komichinoyu Honoka,ほのか,honoka,0:00:00,0:00:00,中央区南3条西2丁目（狸小路2丁目）,札幌市中央区南3条西2丁目（狸小路2丁目）,北海道札幌市中央区南3条西2丁目（狸小路2丁目）,43.057544,141.355116,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,1250,011-221-4126,www.yudokoro-honoka.jp/komichi/,完備,included,すべて込,included,系列店,group,女性専用,"Woman Only & No Tattoos Allowed.",
Onsen_s7,JRタワーホテル日航 ブラウブラン,JRtower hotel Nikkou,JRタワーホテル日航,jrtower_hotel_nikkou,11:00,23:00,中央区北5条西2-5,札幌市中央区北5条西2-5,北海道札幌市中央区北5条西2-5,43.068208,141.352644,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,2900,011-251-6366,www.jrhotels.co.jp/tower/,完備,included,すべて込,included,ホテル型,hotel,18歳以上,“Aged 18 years and older & No Tattoos Allowed.”,
Onsen_s8,アートホテルズ 札幌,Arthotels Sapporo,アートホテルズ,arthotels,11:00,17:00,中央区南9条西2丁目2-10,札幌市中央区南9条西2丁目2-10,北海道札幌市中央区南9条西2丁目2-10,43.049513,141.356998,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,1940,011-512-3456,www.art-sapporo.com/,完備,included,すべて込,included,ホテル型,hotel,なし,"No Tattoos Allowed.",
Onsen_s9,すすきの天然温泉 湯香郷,Susukino Tennen Onsen Yukakyou (In Jasmac Plaza ),ジャスマックプラザホテル,jasumacplaza_hotel,10:00,0:00:00,中央区南7条西3丁目ジャスマックプラザ2F,札幌市中央区南7条西3丁目ジャスマックプラザ2F,北海道札幌市中央区南7条西3丁目ジャスマックプラザ2F,43.051754,141.355576,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,2700,011-513-8107,www.toukakyo.jp/hotspring.php,完備,included,すべて込,included,ホテル型,hotel,なし,"No Tattoos Allowed.",
Onsen_s10,カルロビ・バリ・スパ,Karlovy Vary Spa,ホテルモントレ エーデルホフ札幌,hotel_montereyedelhof_sapporo,11:00,22:00,中央区北2条西１丁目１,札幌市 中央区北2条西１丁目１,北海道札幌市 中央区北2条西１丁目１,43.064432,141.355619,北海道,Hokkaido,札幌市,sapporoshi,city,中央区,chuo-ku,2880,011-330-4455,www.hotelmonterey.co.jp/,完備,included,すべて込,included,ホテル型,hotel,なし,"No Tattoos Allowed.",
